t=2026-03-20T17:15:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-03-20T17:15:20+0530 lvl=info msg="using configuration at default config path" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-20T17:15:20+0530 lvl=info msg="open config file" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-20T17:15:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-20T17:15:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-20T17:15:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://radiosensitive-reed-contrate.ngrok-free.dev
t=2026-03-20T17:15:57+0530 lvl=warn msg="failed to open private leg" id=c125fa97f32f privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:16:20+0530 lvl=warn msg="failed to open private leg" id=8eb009f02bf9 privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:16:37+0530 lvl=info msg="join connections" obj=join id=c6493b158384 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:16:44+0530 lvl=info msg="join connections" obj=join id=659f2cd81fb8 l=127.0.0.1:8000 r=103.91.182.178:55454
t=2026-03-20T17:17:10+0530 lvl=info msg="join connections" obj=join id=0224bbc0e5c1 l=127.0.0.1:8000 r=103.91.182.178:55454
t=2026-03-20T17:17:11+0530 lvl=info msg="join connections" obj=join id=17bc0fb7933e l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=d1877182b689 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=5920c17301bb l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=e0d0469841af l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=be9b857ecb6c l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=7bc03b53d13a l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=d2fdff1070c8 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:13+0530 lvl=info msg="join connections" obj=join id=f735dc3aa703 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:25+0530 lvl=info msg="join connections" obj=join id=42502cb4f236 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=cb9284cc69bf l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=5de4e33ca9ec l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=8dbea2fa019c l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=8a8fb0a3be2d l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=926e3f27318c l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=7a40dedf17b4 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:26+0530 lvl=info msg="join connections" obj=join id=4189eb2df1b5 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=524f09de6d67 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=fb77606bd70f l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=32911b4161b3 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=45230b8af23a l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=f0f9573e1f0f l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:28+0530 lvl=info msg="join connections" obj=join id=de4020119f57 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=0d24d260c458 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=583c612c6485 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=b3a76bc62ea2 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=8b52e9b54bff l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=74709997adff l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=85455b19326f l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:31+0530 lvl=info msg="join connections" obj=join id=260b3431cac9 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:17:51+0530 lvl=info msg="join connections" obj=join id=d71051d7ed62 l=127.0.0.1:8000 r=103.105.224.219:55461
t=2026-03-20T17:18:05+0530 lvl=info msg="join connections" obj=join id=569a16cd5dd7 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=62413e87c31c l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=3061744fb084 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=f446a85bba6f l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=0ca2291b2803 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=bc51bed2634d l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=3839d7365b53 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:06+0530 lvl=info msg="join connections" obj=join id=203197c404ee l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=a2db9e5a37a2 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=82c6e204fb75 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=f5cdd56086d3 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=c56350aec744 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=1a2503a3ede5 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=d1f97205d300 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:12+0530 lvl=info msg="join connections" obj=join id=0ab47c114787 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=8a48d4717361 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=aa337a510c09 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=8354309442fc l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=5e93906f9b8d l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=82f049ced554 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=e95671c8f90a l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:13+0530 lvl=info msg="join connections" obj=join id=2425cd00fed6 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=8ba3cc61a718 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=e7d8825f852e l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=a53e02d98ae3 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=3d2d41ddce4e l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=ec77431ed49c l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=f34697c25314 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=6ef932d7651f l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=99bae7481eac l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=d7d5e849ab6f l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=4d50609dbe05 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=2b4c927d8930 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=a900afe66735 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=66ee2c9c3006 l=127.0.0.1:8000 r=27.61.33.192:63329
